"Market Name","Date","Sales","Dollar Volume","Average Price","Median Price","Active Listings EOM","Months Inventory"
"Texas","2002-11-01","14560","2221157120","152552","123856","102602","5.92"
"Texas","2002-10-01","16758","2540965266","151627","121900","105988","6.1"
"Texas","2002-09-01","16532","2498216648","151114","123367","106583","6.17"
"Texas","2002-08-01","19917","3074388120","154360","124248","106245","6.19"
"Texas","2002-07-01","20446","3228730090","157915","125715","104904","6.09"
"Texas","2002-06-01","19901","3175662273","159573","127573","102667","5.97"
"Texas","2002-05-01","21053","3310942151","157267","124639","100910","5.83"
"Texas","2002-04-01","18616","2839070312","152507","121509","94690","5.49"
"Texas","2002-03-01","17241","2656613967","154087","122389","92478","5.4"
"Texas","2002-02-01","14807","2208997102","149186","121606","90140","5.24"
"Texas","2002-01-01","12747","1846237239","144837","117204","89692","5.24"
"Texas","2001-12-01","15501","2358632160","152160","123074","86160","5.07"
"Texas","2001-11-01","15003","2178600633","145211","119063","92387","5.47"
"Texas","2001-10-01","15445","2162361780","140004","113879","96518","5.74"
"Texas","2001-09-01","15344","2251394432","146728","118183","93020","5.54"
"Texas","2001-08-01","20496","3103955232","151442","120530","95500","5.67"
"Texas","2001-07-01","20313","3159321516","155532","123661","96991","5.78"
"Texas","2001-06-01","21155","3307034220","156324","124345","94528","5.68"
"Texas","2001-05-01","20238","3035983332","150014","119259","95410","5.76"
"Texas","2001-04-01","17391","2566233351","147561","117791","92315","5.59"
"Texas","2001-03-01","18134","2661817324","146786","115835","87723","5.34"
"Texas","2001-02-01","13793","2007612529","145553","114074","85291","5.2"
"Texas","2001-01-01","11271","1567548138","139078","109281","83451","5.09"
"Texas","2000-12-01","13997","2085860934","149022","115444","79447","4.87"
"Texas","2000-11-01","14105","2057214250","145850","113585","83915","5.13"
"Texas","2000-10-01","15325","2240407725","146193","112118","86289","5.28"
"Texas","2000-09-01","15895","2335897410","146958","113781","83496","5.13"
"Texas","2000-08-01","19667","2873053695","146085","111629","83195","5.11"
"Texas","2000-07-01","18573","2752295724","148188","116715","83193","5.14"
"Texas","2000-06-01","20521","3068176794","149514","116128","80543","4.95"
"Texas","2000-05-01","19627","2859104344","145672","112216","80623","4.95"
"Texas","2000-04-01","16141","2301012537","142557","109770","77152","4.79"
"Texas","2000-03-01","17751","2490376545","140295","106640","75594","4.68"
